Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼,Player-additional
1,Jayson Tatum,PF,24,BOS,52,52,1942,516,1117,.462,171,484,.353,345,633,.545,.538,387,446,.868,57,396,453,236,54,39,148,115,1590,tatumja01
2,Luka Dončić,PG,23,DAL,47,47,1714,529,1050,.504,130,368,.353,399,682,.585,.566,381,523,.728,42,374,416,387,71,24,171,130,1569,doncilu01
3,Shai Gilgeous-Alexander,PG,24,OKC,50,50,1770,512,1012,.506,47,132,.356,465,880,.528,.529,467,512,.912,43,190,233,282,84,54,142,135,1538,gilgesh01
4,Anthony Edwards,SG,21,MIN,58,58,2099,517,1115,.464,157,428,.367,360,687,.524,.534,244,318,.767,35,313,348,265,96,35,193,145,1435,edwaran01
5,Giannis Antetokounmpo,PF,28,MIL,43,43,1433,492,910,.541,35,131,.267,457,779,.587,.560,366,567,.646,104,430,534,230,33,34,174,149,1385,antetgi01
6,Julius Randle,PF,28,NYK,56,56,2009,464,1012,.458,149,441,.338,315,571,.552,.532,304,405,.751,126,483,609,237,39,17,162,176,1381,randlju01
7,Joel Embiid,C,28,PHI,41,41,1427,453,853,.531,48,134,.358,405,719,.563,.559,411,480,.856,75,338,413,166,46,65,150,133,1365,embiijo01
8,LeBron James,PF,38,LAL,44,44,1603,510,1004,.508,97,308,.315,413,696,.593,.556,211,276,.764,51,322,373,309,43,24,138,72,1328,jamesle01
9,Damian Lillard,PG,32,POR,43,43,1556,398,860,.463,172,469,.367,226,391,.578,.563,360,392,.918,27,153,180,314,36,13,132,84,1328,lillada01
10,DeMar DeRozan,SF,33,CHI,50,50,1814,465,912,.510,25,77,.325,440,835,.527,.524,340,383,.888,22,218,240,252,51,26,109,134,1295,derozde01
11,Trae Young,PG,24,ATL,48,48,1704,408,954,.428,102,320,.319,306,634,.483,.481,368,416,.885,33,106,139,479,45,7,195,75,1286,youngtr01
12,Jaylen Brown,SF,26,BOS,48,48,1707,473,971,.487,121,366,.331,352,605,.582,.549,204,262,.779,57,279,336,155,53,22,146,128,1271,brownja02
13,Lauri Markkanen,SF,25,UTA,51,51,1742,426,823,.518,157,372,.422,269,451,.596,.613,252,288,.875,90,349,439,88,33,31,92,107,1261,markkla01
14,Ja Morant,PG,23,MEM,45,45,1471,436,932,.468,77,234,.329,359,698,.514,.509,286,381,.751,53,210,263,373,45,13,159,81,1235,moranja01
15,Donovan Mitchell,SG,26,CLE,46,46,1626,426,901,.473,166,430,.386,260,471,.552,.565,214,246,.870,40,139,179,224,69,16,128,112,1232,mitchdo01
16,Jalen Brunson,PG,26,NYK,52,52,1814,432,908,.476,95,234,.406,337,674,.500,.528,246,292,.842,33,149,182,323,50,14,106,124,1205,brunsja01
17,De'Aaron Fox,PG,25,SAC,49,49,1651,446,885,.504,75,230,.326,371,655,.566,.546,220,279,.789,22,187,209,308,52,17,126,121,1187,foxde01
18,Zach LaVine,SG,27,CHI,50,50,1791,409,882,.464,141,376,.375,268,506,.530,.544,220,266,.827,28,211,239,207,52,9,129,112,1179,lavinza01
19,Nikola Jokić,C,27,DEN,47,47,1574,441,695,.635,40,105,.381,401,590,.680,.663,239,290,.824,95,436,531,481,63,31,165,125,1161,jokicni01
20,Kevin Durant,PF,34,BRK,39,39,1403,410,734,.559,71,189,.376,339,545,.622,.607,267,286,.934,14,248,262,207,32,57,136,92,1158,duranke01
21,Anfernee Simons,SG,23,POR,53,53,1899,412,905,.455,192,499,.385,220,406,.542,.561,138,152,.908,14,128,142,220,38,13,118,130,1154,simonan01
22,Pascal Siakam,C,28,TOR,46,46,1726,412,867,.475,61,187,.326,351,680,.516,.510,263,343,.767,90,277,367,284,35,25,118,159,1148,siakapa01
23,Jordan Clarkson,SG,30,UTA,55,55,1777,412,923,.446,144,418,.344,268,505,.531,.524,179,219,.817,63,156,219,233,30,12,158,107,1147,clarkjo01
24,Jordan Poole,PG,23,GSW,55,32,1679,388,883,.439,146,436,.335,242,447,.541,.522,222,257,.864,23,130,153,247,46,12,185,145,1144,poolejo01
25,Bojan Bogdanović,PF,33,DET,53,53,1684,378,778,.486,132,317,.416,246,461,.534,.571,240,273,.879,29,161,190,138,33,6,120,96,1128,bogdabo02
26,Jalen Green,SG,20,HOU,51,51,1752,379,911,.416,133,391,.340,246,520,.473,.489,231,296,.780,29,177,206,185,37,12,147,86,1122,greenja05
27,Stephen Curry,PG,34,GSW,38,38,1313,372,751,.495,185,433,.427,187,318,.588,.619,190,206,.922,22,219,241,244,37,15,122,82,1119,curryst01
28,Kyrie Irving,PG,30,TOT,41,41,1515,407,836,.487,134,356,.376,273,480,.569,.567,160,181,.884,38,170,208,216,42,34,96,112,1108,irvinky01
29,Jerami Grant,PF,28,POR,53,53,1890,375,778,.482,121,298,.406,254,480,.529,.560,227,283,.802,46,184,230,123,43,43,93,125,1098,grantje01
30,Bam Adebayo,C,25,MIA,50,50,1759,433,794,.545,1,10,.100,432,784,.551,.546,223,277,.805,140,358,498,160,59,39,126,141,1090,adebaba01
31,Kyle Kuzma,PF,27,WAS,51,51,1781,411,907,.453,126,380,.332,285,527,.541,.523,136,190,.716,48,338,386,204,25,24,149,121,1084,kuzmaky01
32,Keldon Johnson,SF,23,SAS,49,49,1596,380,860,.442,110,333,.330,270,527,.512,.506,195,250,.780,42,192,234,130,35,9,101,93,1065,johnske04
33,CJ McCollum,SG,31,NOP,50,50,1754,399,914,.437,145,372,.390,254,542,.469,.516,122,153,.797,36,182,218,293,49,29,130,94,1065,mccolcj01
34,Dejounte Murray,SG,26,ATL,50,50,1828,422,913,.462,105,287,.366,317,626,.506,.520,108,129,.837,36,236,272,313,81,17,115,73,1057,murrade01
35,Franz Wagner,SF,21,ORL,54,54,1788,383,785,.488,90,245,.367,293,540,.543,.545,193,232,.832,52,167,219,186,48,11,112,122,1049,wagnefr01
36,Kristaps Porziņģis,C,27,WAS,46,46,1498,342,713,.480,95,258,.368,247,455,.543,.546,267,320,.834,87,310,397,113,41,72,101,143,1046,porzikr01
37,Darius Garland,PG,23,CLE,47,47,1661,356,772,.461,122,294,.415,234,478,.490,.540,202,233,.867,21,110,131,379,61,5,136,95,1036,garlada01
38,Terry Rozier,SG,28,CHO,46,46,1645,372,893,.417,125,375,.333,247,518,.477,.487,130,156,.833,47,156,203,228,47,11,100,82,999,roziete01
39,Buddy Hield,SF,30,IND,56,56,1807,349,769,.454,214,498,.430,135,271,.498,.593,75,87,.862,47,235,282,153,65,19,107,110,987,hieldbu01
40,RJ Barrett,SG,22,NYK,49,49,1708,348,808,.431,89,271,.328,259,537,.482,.486,200,267,.749,46,216,262,139,24,8,110,123,985,barrerj01
41,Paolo Banchero,PF,20,ORL,48,48,1620,314,748,.420,60,205,.293,254,543,.468,.460,283,376,.753,52,265,317,178,49,22,131,110,971,banchpa01
42,Nikola Vučević,C,32,CHI,54,54,1829,397,761,.522,91,252,.361,306,509,.601,.581,86,104,.827,114,495,609,186,39,45,95,116,971,vucevni01
43,Domantas Sabonis,C,26,SAC,52,52,1787,366,601,.609,23,64,.359,343,537,.639,.628,215,286,.752,151,484,635,363,41,25,151,189,970,sabondo01
44,D'Angelo Russell,PG,26,MIN,54,54,1778,338,727,.465,148,379,.391,190,348,.546,.567,143,167,.856,28,137,165,334,60,21,147,117,967,russeda01
45,Mikal Bridges,SF,26,PHO,56,56,2040,354,764,.463,101,261,.387,253,503,.503,.529,156,174,.897,56,187,243,201,65,45,78,115,965,bridgmi01
46,Bennedict Mathurin,SF,20,IND,56,6,1574,300,707,.424,78,243,.321,222,464,.478,.479,282,342,.825,60,172,232,77,32,5,104,114,960,mathube01
47,Paul George,SG,32,LAC,41,41,1407,333,719,.463,122,313,.390,211,406,.520,.548,170,196,.867,29,220,249,212,62,15,138,111,958,georgpa01
48,Spencer Dinwiddie,PG,29,DAL,53,53,1808,316,694,.455,138,341,.405,178,353,.504,.555,170,207,.821,19,144,163,279,39,16,90,124,940,dinwisp01
49,Klay Thompson,SG,32,GSW,43,43,1408,333,787,.423,183,454,.403,150,333,.450,.539,76,84,.905,29,140,169,105,28,16,74,90,925,thompkl01
50,Fred VanVleet,PG,28,TOR,47,47,1740,303,766,.396,138,405,.341,165,361,.457,.486,179,199,.899,24,185,209,305,74,29,86,132,923,vanvlfr01
51,Gary Trent Jr.,SG,24,TOR,49,39,1642,320,719,.445,130,349,.372,190,370,.514,.535,143,172,.831,19,104,123,77,80,13,46,85,913,trentga02
52,Jamal Murray,PG,25,DEN,45,45,1464,331,718,.461,108,273,.396,223,445,.501,.536,140,168,.833,35,151,186,261,43,9,94,60,910,murraja01
53,Jimmy Butler,SF,33,MIA,40,40,1356,294,568,.518,22,72,.306,272,496,.548,.537,270,322,.839,87,152,239,198,83,13,68,54,880,butleji01
54,Tyler Herro,SG,23,MIA,43,43,1511,316,728,.434,128,346,.370,188,382,.492,.522,113,123,.919,19,228,247,190,38,13,104,70,873,herroty01
55,Tyrese Haliburton,PG,22,IND,44,44,1474,313,658,.476,127,324,.392,186,334,.557,.572,117,137,.854,29,142,171,451,76,17,117,50,870,halibty01
56,Deandre Ayton,C,24,PHO,47,47,1412,376,642,.586,7,23,.304,369,619,.596,.591,105,145,.724,136,349,485,98,22,31,94,130,864,aytonde01
57,Evan Mobley,PF,21,CLE,55,55,1870,348,631,.552,12,63,.190,336,568,.592,.561,140,201,.697,133,356,489,151,40,76,113,155,848,mobleev01
58,Myles Turner,C,26,IND,47,47,1406,297,549,.541,76,192,.396,221,357,.619,.610,163,209,.780,74,307,381,62,29,113,76,157,833,turnemy01
59,Anthony Davis,C,29,LAL,31,29,1036,309,536,.576,13,46,.283,296,490,.604,.589,196,237,.827,102,267,369,79,40,62,63,84,827,davisan02
60,Russell Westbrook,PG,34,LAL,52,3,1491,304,729,.417,63,213,.296,241,516,.467,.460,156,238,.655,59,262,321,391,53,23,184,121,827,westbru01
61,Scottie Barnes,PF,21,TOR,53,52,1858,322,704,.457,49,164,.299,273,540,.506,.492,132,171,.772,128,255,383,255,55,46,108,113,825,barnesc01
